hotel_id, comment_num, useful_num, pic_num, comment_date, rating, comment
13002,5.0,, 10,2017-07-27,5.0,酒店高大上，装修豪华，离车站很近的，去哪里滴滴打车都很方便，看图片吧。房间不大，但是很温馨，服务也不错，就是没有手持花洒
13002,,,,2020-05-03,,跟图片提供差不多
13002,,,,2019-11-26,,作为四星级酒店，前台接待自我素养应该是很高的，可是这里并没有，有那么一男一女真心很不错，一脸的不耐烦，刷身份证不通过口气就能***，你说一句这俩人能说十句，真的是绝配，服务行业有这样的也是绝了，颠覆了对服务行业的认知；住宿环境没的说，很不错，就是床单被套压根没换，之前的客人入住完没换新的，铺好就让下一位客人入住，床单和擦鞋纸可以看图片有多干净；早餐因为没吃就不知道了，总的来说真的不建议去
13002,,,,2018-08-25,,8年前来桂林住过这里当时房间不错又安静，这次来却完全不一样了，图一是实际房间图二图三是酒店放的房间图看图定了观景豪华标准间结果去了前台说图上错了，图片是豪华套房的图。这个感觉就有点欺骗感觉了，卫生间干湿不分区，一洗澡水会流到马桶那边去，专门去前台反映了这个问题前台让客房送个地巾到房间，结果服务阿姨直接说洒店从来没有地巾也是醉了。最大的问题是每天回房间地上无数的*****可见现在的酒店管理有多混乱，以后决对不会再来入住了。
13002,,,,2018-04-11,,酒店的设施，位置，卫生都还不错，就是在房间上纠结，定的是豪华双人间，入住一看那么小的房间，真心不想艺龙网上挂的图片，稍微差点也就接受啦，但是相差太多啦！后来找前台，艺龙客服都说是豪华间，实在是无话可说啦，也懒得计较啦，只好认倒霉吧！
13002,,,,2018-02-24,,比普通标准多了一点点东西，我以为和图片一样呢！差点。 安排电梯口，声音很吵，不喜欢！
13002,6.0,2.0, 20,2018-09-08,4.8,总体还好！房间大小适中，卫生搞得还好，房间里除了大床外，还有一个小靠床，小孩子会很喜欢。 酒店的服务员态度都很好，一级棒，很热情。 令人十分不理解的是，有消费陷阱！注意消费陷阱。看到那两瓶水么？一般酒店都是送两瓶水，但是这个酒店是标价的，10元/瓶。如果不注意，打开了，那就坑你没商量啊！另外，收费的几个还都摆在了明面儿上，像茶叶，避孕套，小湿巾，都是打开了就要收费的。小孩子往往喜欢这些小东西，爱打开东西。所以很容易着道！ 我都是把这些东西提前放到抽屉里，不让小孩子看见！防止弄损！这是我们退房的时候，拍的照片，所有标价格的东西全都完好无损，也算是留个证据吧！
13002,2.0,2.0, 2,2018-08-05,2.0,进入房间的第一眼就碉堡了！怎么那么破？整个房间转下来，心情已是谷底！能跟豪华套房占一点点边的就只能是房间面积而已了！除了这个没有任何一点点能跟豪华搭得上的！毛巾是破的，沙发是破的，电视小的可怜！隔音很差！吹风机是坏的，打了两次电话，差不多要发火了，才给送了一个过来。连餐巾纸都没有，卫生纸也是最差的，洗漱用品更是惨不忍睹！要不是我带着两个孩子玩了一天，第二天还要赶火车，我是真不想住！上传手骨折的照片只是证明我出门带孩子玩已经很不方便了（票是提前定好的），几百块钱就住这破酒店更是心情郁闷到极点了！
13002,,,,2019-06-01,,酒店位置不错交通便利离步行街也近到机场大巴售票处也很方便推荐忘记给窗外拍照片了总之很好给酒店打电话
13002,,,,2019-07-11,,从网上看照片大楼外观高大上，入住才发现亏大了，房间小，有异味，无纱窗，设施简陋，就是接待旅游团的档次。更可笑的，早餐安排到附近的桂林米粉店，就是一碗米粉，别的品种收费。简直是**造！不愧是香江大饭店！
13002,,,,2019-03-15,,忘记了拍照片！这次出来玩去了柳州三江，湖南凤凰古城，桂林！住三百的凤凰古城没有住一百多的香江大饭店环境好
