,hotel_id,comment_num,useful_num,pic_num,date,rating,comment
0,441351, 3, 8, 5,2020-05-21,5.0,看到网评挺高的，主要也是交通方便，位置好，离我办事的地方特别近，才选择这家的，而且我看评论中说房间卫生、设施、设备，都挺好，果然这个价位不令人失望，这次入住正好碰上前台刘小姐当班，她让我感受到如家庭般的舒适与温暖 服务周到与贴心，👍👍👍👍晚上还去外滩玩了一下，也是刘小姐告诉我坐几号地铁，到哪站路下😘😘，
1,441351, 1, 7, 5,2019-12-03,5.0,环境优美，还有小花花装饰，地理位置好，交通方便，去地铁很方便，房间舒适卫生，服务人员很热情，乐于提供各种帮助，早餐丰富，而且还是自助哟。设施很人性化，网络高速信号好，窗外风景好。有特别的开床服务，房间小摆件的设计也很有特色。性价比不错，下次还要入住
2,441351, 24, 39, 10,2019-12-19,5.0,已经是最近第二次入住三湘大厦了，服务员都很热情，房间也很超值，漏了开发票，前台的妹妹袁玉莹帮我寄过来了。好评哦！谢谢！
3,441351, 4, 6,,2019-11-21,2.0,11月20日入住三湘大厦是令人最不满意的一次，我们晚上九点前入住1104房间，由于靠高架桥近，路上的汽车发动机声和压到斑马线的咯噔声一夜无法入睡，我们都是六十多岁的老人了，本来到上海一天奔波很劳累可晚上无法入睡，晚上一点钟时实在忍不住给服务台打电话要求换个清净点的房间，条件差点也行，可服务员不同意，就这样我们一夜几乎没睡。 中午我们办完事情回来，住宾馆时讲好的我们一点钟退房，可十二点二十多分就催着退房，那就赶紧退吧，退房时她们又要扣我三十元早餐费，原因是我早上吃早餐了，我说早餐票是我原来的(我上个月在这酒店定了十一次房没用过的早餐票)，另外一服务员看了一下，她们半信半疑的才退我三十元钱。这事做的太差矣，简直是侮辱了人格。因此，建议客户慎重选择此酒店，她们的做法丢不起人。更不是为顾客着想和真正搞好服务，住了这么多次真是选错了地方。
4,441351, 1, 6,,2019-10-17,5.0,看离虹桥机场很近，就在携程上选择了这家酒店，入住体验还是不错的，总台服务员热情，客房好像是新装修的，虽然小但是真的很干净整洁。很好的体验！
5,441351, 109, 18, 90,2020-03-29,3.5,临时入住一晚，等了好长时间才入住，说是没有人退房，估计世博会房间紧张吧，卫生状况还行，不过房间确实太小。
6,441351, 16, 8,,2019-08-17,5.0,这是一家老牌酒店，看着还有星的，入住时要押金的，支付方式可以多种，退押金时是现金退款。对该酒店的评价：这是一家很好的酒店，从装修风格和质量上已具备三星以上级别的硬件设施条件，设施设备看着都很老了，但是都能用；服务质量好，前台很热情，服务态度没得说，很棒！！有宾至如归的感觉；酒店距离地铁站很近，10几分钟，这在偌大的上海市已十分难得；早餐很简单，但能吃饱！
7,441351, 6, 5,,2019-08-06,4.5,尽管入住时关于押金问题有些分岐，但不影响对该酒店的正确评价。这是一家很好的酒店，从装修风格和质量上已具备三星以上级别的硬件设施条件，且很新；服务质量好，有宾至如归的感觉；酒店距离地铁站步行约15分钟路程，这在偌大的上海市已十分难得；早餐我给两字的评价:很棒！遗憾的是酒店正面是高架桥，晚上夜深人静时车流噪音会给酒店带来负面影响，但这不是人为可以解决的，这不是酒店的错。简言之，这家酒店很不错。
8,441351, 2, 4,,2019-08-23,5.0,环境很好，早餐也很丰盛。）第一次来上海出差，整体感觉非常不错。如果还有机会来公司培训，一定会再次入住
9,441351, 1, 8,,2019-04-16,4.3,早餐比较简单，房间很小。但总体感觉比较干净，还是不错的，性价比还是很高的。比较适合出差使用。因为入住时间晚，没有来得及仔细观察周边环境。
10,441351, 20, 5,,2019-07-17,4.0,"第二次入住了，为了赶早班机才来的，去机场快速方便，出去其他地方也方便，地铁3,4,10号线交汇，适合出差"
11,441351, 6, 3, 3,2019-08-29,5.0,单人间特别棒，环境好还安静，地铁口不远，适合旅行出差入住。属于政府接待酒店，卫生服务都很单位，特别棒
12,441351, 5,,,2020-04-04,5.0,已经记不起第几次入住
